id,company_rank,employee_count,company,url,state,state_code,city,metro,growth_percent,revenue_usd,industry,years_on_inc5000
24960,571,24,"Prime Energy Group",prime-energy-group,"North Carolina",NC,Raleigh,"Raleigh-Cary NC",833.8797,3950311,Construction,1
24942,572,154,"Entellus Medical",entellus-medical,Minnesota,MN,Plymouth,Minneapolis,832.9636,32531833,Health,1
22115,573,20,"SpearMC Consulting",spearmc-consulting,California,CA,"San Francisco","San Francisco",831.9709,7271386,"IT Services",3
25087,574,32,"G-Force Shipping",g-force-shipping,Massachusetts,MA,Norwell,Boston,830.8605,10022975,"Logistics & Transportation",1
23154,575,79,Strongbridge,strongbridge,Virginia,VA,Sterling,"Washington DC",829.4227,13175301,"Government Services",2
23200,576,55,"Rooster Park",rooster-park,Washington,WA,Seattle,Seattle,826.3143,8156197,Software,2
1253,577,25,"Strada Capital",strada-capital,California,CA,"Laguna Hills","Los Angeles",826.2046,8765600,"Financial Services",3
25579,578,7,"gBuild Construction Managers",gbuild-construction-managers,Pennsylvania,PA,Exton,Philadelphia,824.8193,8132778,Construction,1
23375,579,403,"Roof Diagnostics Solar",roof-diagnostics-solar,"New Jersey",NJ,Wall,"New York City",824.0932,55472428,Energy,2
25096,580,9,"Phipps Court Reporting",phipps-court-reporting,Florida,FL,"West Palm Beach",Miami,823.9908,2862699,"Business Products & Services",1
23259,581,38,"Cloud9 Real Time",cloud9-real-time,California,CA,"San Diego","San Diego",823.914,6121965,"IT Services",2
22894,582,240,DataXu,dataxu,Massachusetts,MA,Boston,Boston,823.1993,118351136,"Advertising & Marketing",2
21219,583,96,"Hawaii Energy Connection",hawaii-energy-connection,Hawaii,HI,Aiea,"Honolulu HI",818.4126,43205415,Energy,3
21008,584,64,"Vital Farms",vital-farms,Texas,TX,Austin,Austin,817.9166,17175642,"Food & Beverage",3
23005,585,11,SimplyGlobo,simplyglobo,Illinois,IL,"Villa Park",Chicago,815.0161,3279381,Retail,2
26257,586,83,RevZilla.com,revzillacom,Pennsylvania,PA,Philadelphia,Philadelphia,811.9209,58348536,Retail,1
25043,587,50,"Loop1 Systems",loop1-systems,Texas,TX,Austin,Austin,811.1332,10649216,"IT Services",1
24904,588,57,CFS2,cfs2,Oklahoma,OK,Tulsa,"Tulsa OK",810.8362,6211156,"Financial Services",1
